latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.743409,100.495865,7.0,25200,Asia/Bangkok,GMT+7

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm)
2025-01-01,33.6,22.4,27.9,35.1,24.1,29.2,2025-01-01T06:41,2025-01-01T18:01,40793.67,38098.44,0.00
2025-01-02,33.7,22.0,27.9,34.7,23.8,29.2,2025-01-02T06:42,2025-01-02T18:02,40805.44,38111.91,0.00
2025-01-03,33.6,22.7,28.2,34.7,23.3,29.2,2025-01-03T06:42,2025-01-03T18:02,40818.16,30304.72,0.00
2025-01-04,33.9,22.4,28.1,35.1,24.5,29.5,2025-01-04T06:42,2025-01-04T18:03,40831.82,38142.02,0.00
2025-01-05,32.5,22.4,27.4,33.0,23.1,27.5,2025-01-05T06:43,2025-01-05T18:03,40846.39,38158.61,0.00
2025-01-06,32.5,20.5,26.7,33.2,21.1,27.1,2025-01-06T06:43,2025-01-06T18:04,40861.87,38176.19,0.00
2025-01-07,33.2,21.0,27.5,33.5,22.1,28.1,2025-01-07T06:43,2025-01-07T18:04,40878.25,38194.88,0.00
